Title	tip	these	could	indent	commands	would	make	works	cheap	things	mmm	under	an	first	vi	another	handy	not	delete	states	back	around	ignore	how	jumping	matters	what	new	graywh	after	do	lot	window	knowing	open	other	right	keep	modified	current	take	allows	left	more	good	characters	without	given	doing	undo	reader	they	mode	value	add	paragraph	there	grab	following	here	run	does	change	options	very	then	changed	only	used	vertical	cursor	x	will	setting	disable	need	buffer	screen	useful	type	most	switching	flag	two	tips	makes	sure	just	allow	but	reformat	process	map	easy	rss	love	shell	standard	set	os	plugin	already	normal	nice	get	many	my	visited	file	way	ruler	me	spaces	page	backtick	so	introduction	pattern	one	should	filetype	has	horizontal	anonymous	much	up	ex	thought	modelines	tabs	previous	specific	than	know	few	work	which	really	about	had	while	beginning	because	tao	like	split	might	scrolling	always	when	typing	basic	tab	number	remap	levels	working	inside	code	key	actually	some	even	between	removing	see	or	windows	autocompletion	autowrite	equal	quick	little	also	extending	out	programming	time	replace	insert	thanks	support	been	list	all	give	lines	history	different	over	them	any	put	emacs	files	was	line	why	hit	using	applications	easier	next	into	eclipse	where	something	great	directory	find	no	found	name	converting
	17	14	14	0	0	17	0	0	0	0	0	0	32	14	18	0	0	51	0	0	0	17	0	34	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	18	14	17	0	14	0	0	0	31	34	0	0	0	0	0	0	17	18	45	18	82	0	18	17	0	18	0	28	0	18	0	0	0	0	17	17	0	99	0	17	0	0	0	0	0	0	0	18	17	0	0	17	34	0	17	0	45	31	0	31	0	0	0	0	18	0	42	0	0	14	18	0	0	0	0	14	0	0	14	0	0	17	0	31	17	0	14	28	17	0	17	0	0	18	0	0	0	17	0	0	0	14	0	0	0	0	0	0	0	31	0	0	0	34	17	0	18	0	0	0	14	0	0	14	0	0	18	0	17	18	0	0	0	0	0	0	0	0	0	65	0	0	0	14	91	0	0	34	18	18	34	17	18	0	0	17	0	0	34	0	17	0
	17	0	0	18	51	0	0	34	0	0	18	0	0	0	0	0	0	17	0	18	0	0	0	0	18	0	0	17	0	0	17	0	18	18	0	0	0	0	0	17	14	0	0	0	0	18	0	0	0	18	36	17	0	0	0	0	0	18	0	0	0	0	0	18	0	0	0	0	0	0	0	0	14	18	0	0	36	0	14	0	0	0	0	0	0	0	0	17	0	34	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	35	0	0	18	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	17	17	0	0	18	0	18	17	0	0	18	0	0	14	0	0	0	0	18	0	32	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	18	0	0	36	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	18	17	0	18	0	0	84	17	0	0	0	0
	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	15	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
	17	0	17	0	0	0	14	0	0	34	0	0	0	36	0	0	0	51	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	34	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	18	0	0	0	0	0	65	0	0	0	0	0	0	0	18	0	0	0	14	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	48	0	0	0	0	34	0	0	0	0	0	17	0	0	0	0	0	14	0	0	17	0	14	0	0	0	0	0	0	0	14	0	14	0	0	0	17	0	0	0	0	0	17	0	0	0	0	14	18	0	18	0	17	0	0	35	0	17	0	0	0	0	0	100	18	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	17	0	0	0	31	0	45	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	1	0	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	16	0	14	1	0	0	0	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	14	17	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	17	49	0	0	0	0	0	17	0	17	0	0	0	18	0	0	0	18	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	18	0	0	0	0	17	0	0	0	0	14	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	18	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	35	0	0	17	0	17	18	0	0	0	35	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0	0	17	18	18	18	17	0	0	0	0	0	17	0	0	0	0	0	0	18	18	0	0	0	0	0	0	0	17	0	0	0	0	0	0	17	15	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	18	0	0	84	0	0	50	0	0	0	18	0	0	0	0	0	0	0	0	0	32	0	0	18	0	0	31	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	17	17	0	0	0	0	0	18
	0	0	0	18	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	18	0	17	0	0	35	0	0	0	0	0	0	0	49	18	14	0	0	0	0	0	0	0	0	0	0	18	0	0	14	18	36	0	0	0	0	0	0	18	0	0	0	0	0	18	0	0	0	0	0	0	14	0	0	18	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	18	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	18	14	0	0	0	0	0	0	0	0	0	18	0	18	0	14	0	18	0	0	0	0	0	28	0	18	0	0	0	0	0	0	0	0	0	0	0	14	0	18	0	0	0	0	0	0	18	0	0	36	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	18	0	0	18	0	0	18	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	18	0	32	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	16	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	28	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	0	17	0	0	0	102	17	0	0	0	0	0	34	17	0	0	0	48	0	0	0	0	0	0	0	0	34	0	17	0	0	34	0	0	0	0	0	0	0	0	34	0	0	17	14	0	0	17	0	0	0	0	0	34	0	0	0	0	0	0	0	51	0	0	85	51	0	0	0	0	0	34	0	0	0	17	0	0	0	0	17	0	0	0	0	0	14	0	0	34	0	0	0	17	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	17	0	48	17	51	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	17	17	0	0	0	0	17	0	0	0	0	0	0	0	0	17	0	0	0	0	14	0	0	0	17	17	0	0	0	17	17	0	0	34	0	14	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	17	0	0	0	31	0	0	32	17	35	0	0	48	0	0	0	0	0	14	0	0	31	34	0	0	0	14	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	14	0	0	0	0	18	0	0	0	51	0	0	0	28	14	0	31	0	17	0	0	17	18	0	18	0	0	18	28	0	32	0	0	34	18	0	0	0	14	0	34	0	124	0	0	0	0	0	0	0	0	0	18	17	0	0	0	17	0	17	0	0	17	0	0	0	0	0	48	18	0	17	28	0	0	18	0	17	0	0	17	0	0	0	0	0	14	0	0	48	31	34	17	34	0	17	0	62	18	0	0	17	65	0	0	0	0	0	0	0	0	0	17	0	42	0	0	0	0	14	0	18	0	0	0	0	0	0	17	0	62	18	0	17	18	0	0	0	14	0	0	0	0	0	14	0	0	0	85	18	0	0	42	18	18	0	31	171	0	0	17	0	0	17	17	0	0
