Predicted  admin  commands  plugins  vimrc  __all__
Actual                                             
admin          0         2        0      0        2
commands       0         5        0      0        5
plugins        0         1        0      0        1
vimrc          0         1        0      0        1
__all__        0         9        0      0        9

Classes                                   admin  commands   plugins     vimrc
Population                                    9         9         9         9
P: Condition positive                         2         5         1         1
N: Condition negative                         7         4         8         8
Test outcome positive                         0         9         0         0
Test outcome negative                         9         0         9         9
TP: True Positive                             0         5         0         0
TN: True Negative                             7         0         8         8
FP: False Positive                            0         4         0         0
FN: False Negative                            2         0         1         1
TPR: (Sensitivity, hit rate, recall)          0         1         0         0
TNR=SPC: (Specificity)                        1         0         1         1
PPV: Pos Pred Value (Precision)             NaN  0.555556       NaN       NaN
NPV: Neg Pred Value                    0.777778       NaN  0.888889  0.888889
FPR: False-out                                0         1         0         0
FDR: False Discovery Rate                   NaN  0.444444       NaN       NaN
FNR: Miss Rate                                1         0         1         1
ACC: Accuracy                          0.777778  0.555556  0.888889  0.888889
F1 score                                      0  0.714286         0         0
MCC: Matthews correlation coefficient       NaN       NaN       NaN       NaN
Informedness                                  0         0         0         0
Markedness                                  NaN       NaN       NaN       NaN
Prevalence                             0.222222  0.555556  0.111111  0.111111
LR+: Positive likelihood ratio              NaN         1       NaN       NaN
LR-: Negative likelihood ratio                1       NaN         1         1
DOR: Diagnostic odds ratio                  NaN       NaN       NaN       NaN
FOR: False omission rate               0.222222       NaN  0.111111  0.111111
